Ticker,company,minusfiftyper,minustwentyfiveper,minusfifteenper,minustenper,minuseightper,minussixper,minusfourper,minustwoper,twoper,fourper,sixper,eightper,tenper,fifteenper,twentyfiveper,fiftyper,ticker_company
COTY,"COTY INC",0.00000001,0.0000001,0.03,0.08,0.09,0.13,0.22,0.39,0.27,0.16,0.08,0.06,0.04,0.01,0.000001,0.000001,"COTY,COTY INC"
CPB,"CAMPBELL SOUP CO",0.00000001,0.0000001,0.01,0.01,0.02,0.05,0.12,0.27,0.2,0.1,0.05,0.03,0.0001,0.00001,0.000001,0.000001,"CPB,CAMPBELL SOUP CO"
CRM,"SALESFORCE.COM INC",0.00000001,0.0000001,0.01,0.01,0.02,0.04,0.09,0.22,0.4,0.1,0.07,0.02,0.01,0.00001,0.000001,0.000001,"CRM,SALESFORCE.COM INC"
CSCO,"CISCO SYSTEMS INC",0.00000001,0.0000001,0.000001,0.01,0.03,0.06,0.09,0.18,0.26,0.07,0.04,0.02,0.01,0.00001,0.000001,0.000001,"CSCO,CISCO SYSTEMS INC"
CSX,"CSX CORP",0.00000001,0.0000001,0.01,0.02,0.03,0.03,0.1,0.25,0.4,0.19,0.11,0.03,0.01,0.01,0.000001,0.000001,"CSX,CSX CORP"
CTAS,"CINTAS CORP",0.00000001,0.0000001,0.000001,0.00001,0.01,0.02,0.03,0.18,0.36,0.15,0.07,0.01,0.0001,0.00001,0.000001,0.000001,"CTAS,CINTAS CORP"
CTL,"CENTURYLINK INC",0.00000001,0.01,0.01,0.06,0.07,0.15,0.24,0.37,0.29,0.17,0.11,0.05,0.04,0.02,0.000001,0.000001,"CTL,CENTURYLINK INC"
CTSH,"COGNIZANT TECH SOLUTIONS",0.00000001,0.0000001,0.01,0.02,0.04,0.06,0.12,0.21,0.28,0.14,0.07,0.001,0.0001,0.00001,0.000001,0.000001,"CTSH,COGNIZANT TECH SOLUTIONS"
CTXS,"CITRIX SYSTEMS INC",0.00000001,0.0000001,0.01,0.03,0.03,0.04,0.1,0.24,0.33,0.09,0.04,0.02,0.01,0.00001,0.000001,0.000001,"CTXS,CITRIX SYSTEMS INC"
CVS,"CVS HEALTH CORP",0.00000001,0.0000001,0.000001,0.04,0.05,0.09,0.23,0.31,0.27,0.13,0.04,0.001,0.0001,0.00001,0.000001,0.000001,"CVS,CVS HEALTH CORP"
CVX,"CHEVRON CORP",0.00000001,0.0000001,0.000001,0.02,0.02,0.03,0.07,0.19,0.28,0.11,0.04,0.02,0.0001,0.00001,0.000001,0.000001,"CVX,CHEVRON CORP"
CXO,"CONCHO RESOURCES INC",0.00000001,0.0000001,0.01,0.04,0.1,0.14,0.17,0.3,0.36,0.2,0.12,0.05,0.03,0.01,0.000001,0.000001,"CXO,CONCHO RESOURCES INC"
D,"DOMINION ENERGY INC",0.00000001,0.0000001,0.000001,0.00001,0.0001,0.03,0.1,0.23,0.21,0.04,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"D,DOMINION ENERGY INC"
